ID,可装备附魔,可宠物附魔,备注,有效,说明,阶段,道具类型,品质,附加价格,力量强度,体质强度,智力强度,敏捷强度,精准强度,伤害,防御,MaxHp,MaxMp,攻击速度,命中,闪躲,必杀率
1,1,0,力量微增,1,增幅基础力量,1,1,white,1,1,,,,,,,,,,,,
2,1,0,体质微增,1,增幅基础体质,1,1,white,1,,1,,,,,,,,,,,
3,1,0,智力微增,1,增幅基础智力,1,1,white,1,,,1,,,,,,,,,,
4,1,0,敏捷微增,1,增幅基础敏捷,1,1,white,1,,,,1,,,,,,,,,
5,1,0,精准微增,1,增幅基础精准,1,1,white,1,,,,,1,,,,,,,,
11,1,0,伤害小幅,1,增加伤害,1,1,white,1,,,,,,5,,,,,,,
12,1,0,防御小幅,1,增加防御,1,1,white,1,,,,,,,5,,,,,,
13,1,0,气血小幅,1,增加最大气血,1,1,white,1,,,,,,,,25,,,,,
14,1,0,法力小幅,1,增加最大法力,1,1,white,1,,,,,,,,,20,,,,
15,1,0,命中小幅,1,增加命中,1,1,white,1,,,,,,,,,,,5,,
16,1,0,闪躲小幅,1,增加闪躲,1,1,white,1,,,,,,,,,,,,4,
17,1,0,必杀小幅,1,增加必杀率,1,1,white,1,,,,,,,,,,,,,1
51,1,0,力量中增,1,增幅基础力量,1,1,green,2,3,,,,,,,,,,,,
52,1,0,体质中增,1,增幅基础体质,1,1,green,2,,3,,,,,,,,,,,
53,1,0,智力中增,1,增幅基础智力,1,1,green,2,,,3,,,,,,,,,,
54,1,0,敏捷中增,1,增幅基础敏捷,1,1,green,2,,,,3,,,,,,,,,
55,1,0,精准中增,1,增幅基础精准,1,1,green,2,,,,,3,,,,,,,,
61,1,0,伤害中幅,1,增加伤害,1,1,green,2,,,,,,12,,,,,,,
62,1,0,防御中幅,1,增加防御,1,1,green,2,,,,,,,10,,,,,,
63,1,0,气血中幅,1,增加最大气血,1,1,green,2,,,,,,,,60,,,,,
64,1,0,法力中幅,1,增加最大法力,1,1,green,2,,,,,,,,,45,,,,
65,1,0,命中中幅,1,增加命中,1,1,green,2,,,,,,,,,,,12,,
66,1,0,闪躲中幅,1,增加闪躲,1,1,green,2,,,,,,,,,,,,10,
67,1,0,必杀中幅,1,增加必杀率,1,1,green,2,,,,,,,,,,,,,2
101,1,0,力量大增,1,增幅基础力量,1,1,blue,3,5,,,,,,,,,,,,
102,1,0,体质大增,1,增幅基础体质,1,1,blue,3,,5,,,,,,,,,,,
103,1,0,智力大增,1,增幅基础智力,1,1,blue,3,,,5,,,,,,,,,,
104,1,0,敏捷大增,1,增幅基础敏捷,1,1,blue,3,,,,5,,,,,,,,,
105,1,0,精准大增,1,增幅基础精准,1,1,blue,3,,,,,5,,,,,,,,
111,1,0,伤害大幅,1,增加伤害,1,1,blue,3,,,,,,22,,,,,,,
112,1,0,防御大幅,1,增加防御,1,1,blue,3,,,,,,,18,,,,,,
113,1,0,气血大幅,1,增加最大气血,1,1,blue,3,,,,,,,,110,,,,,
114,1,0,法力大幅,1,增加最大法力,1,1,blue,3,,,,,,,,,75,,,,
115,1,0,命中大幅,1,增加命中,1,1,blue,3,,,,,,,,,,,22,,
116,1,0,闪躲大幅,1,增加闪躲,1,1,blue,3,,,,,,,,,,,,18,
117,1,0,必杀大幅,1,增加必杀率,1,1,blue,3,,,,,,,,,,,,,3
201,1,0,武勇,1,力量增幅和伤害,1,1,purple,5,6,,,,,18,,,,,,,
202,1,0,厚土,1,体质增幅和气血,1,1,purple,5,,6,,,,,,140,,,,,
203,1,0,灵心,1,智力增幅和法力,1,1,purple,5,,,6,,,,,,100,,,,
204,1,0,疾风,1,敏捷增幅和闪躲,1,1,purple,5,,,,6,,,,,,,,18,
205,1,0,鹰眼,1,精准增幅和命中,1,1,purple,5,,,,,6,,,,,,24,,
206,1,0,破军,1,伤害和必杀,1,1,purple,5,,,,,,30,,,,,,,3
301,1,0,金色武勇,1,力量增幅和伤害,1,1,gold,8,10,,,,,30,,,,,,,
302,1,0,金色厚土,1,体质增幅和气血,1,1,gold,8,,10,,,,,,240,,,,,
303,1,0,金色灵心,1,智力增幅和法力,1,1,gold,8,,,10,,,,,,160,,,,
304,1,0,金色疾风,1,敏捷增幅和闪躲,1,1,gold,8,,,,10,,,,,,,,30,
305,1,0,金色鹰眼,1,精准增幅和命中,1,1,gold,8,,,,,10,,,,,,40,,
306,1,0,金色破军,1,伤害和必杀,1,1,gold,8,,,,,,48,,,,,,,5
