ID,EXP
1,0
2,50
3,150
4,300
5,500
6,575
7,700
8,825
9,950
10,1075
11,1200
12,1325
13,1450
14,1575
15,1700
16,1825
17,1950
18,2075
19,2200
20,2325
21,2450
22,2575
23,2700
24,2825
25,2950
26,3075
27,3200
28,3325
29,3450
30,3575
31,3700
32,3825
33,3950
34,4075
35,4200
36,4325
37,4450
38,4575
39,4700
40,4825
41,4950
42,5075
43,5200
44,5325
45,5450
46,5575
47,5700
48,5825
49,5950
50,6075
51,6200
52,6325
53,6450
54,6575
55,6700
56,6825
57,6950
58,7075
59,7200
60,7325
61,7450
62,7575
63,7700
64,7825
65,7950
66,8075
67,8200
68,8325
69,8450
70,8575
71,8700
72,8825
73,8950
74,9075
75,9200
76,9325
77,9450
78,9575
79,9700
80,9825
81,9950
82,10075
83,10200
84,10325
85,10450
86,10575
87,10700
88,10825
89,10950
90,11075
91,11200
92,11325
93,11450
94,11575
95,11700
96,11825
97,11950
98,12075
99,12200
100,999912325
