ID,名称,阶段,类型,子类型,神兽ID,分解ID,可锻造,可交易,可商店,可删除,可丢弃,可重叠摆放,是否任务道具,不允许融合,价值,点数,命中,伤害,防御,闪躲,攻击速度,必杀率,MaxHp,MaxMp,抗火,抗水,抗毒,法宝属性,等级需求,力量需求,敏捷需求,智力需求,精准需求,职业需求,阶段需求,Icon,UpdateModel,Sound,初始使用次数,最大使用次数,技能ID,套装ID,说明,脚本,关联,关联1
1,青云剑,1,1,1,,,1,0,0,1,0,0,0,1,100,0,3,500,5,2,1,1,0,0,0,0,0,,1,5,2,2,2,1,,青云剑,,,1,1,,,[#FFA500]从真封神借来的武器.[#end] 佳梦关四将魔礼青所使用的兵器。上有符印，剑到之处如有青风烈火扫过，凡人逢着此风火，四肢成为齑粉,,,
2,灵石,1,2,1,,,0,1,1,1,1,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,,##灵石1,,,1,99,,,古仙山孕育的灵粹结晶，星光流转间似有低语。传说它能沟通天地，助人突破瓶颈，亦可用于淬炼法器，赋予其灵性。,,,
3,青铜,1,3,1,,,0,1,1,1,1,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,,青铜矿,,,1,9,,,精炼的铁，没有其他金属的杂质，比青铜更坚韧。,,,
4,碎灵,2,2,1,,,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,0,,点卡,,,1,9,,,真封神1点点卡,,,
5,形天宝石,,5,1,,,0,1,0,1,1,1,0,1,500,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,15,,##形天宝石,,,1,99,,,难以形容的神奇宝石。能使平凡武器锋利一些。,,10,
6,照天彩珠,,5,2,,,0,1,0,1,1,1,0,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,30,,##照天彩珠,,,1,99,,,光华灿烂，映照天地的瑰丽彩珠。能将平凡武器变得锋利无比。,,10,
7,番天舍利,,5,3,,,0,1,0,1,1,1,0,1,3000,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,40,,##番天舍利,,,1,99,,,拥有翻天覆地无边道法的舍利。能让平凡兵器变得无坚不摧。,,10,
8,五光宝石,,5,1,,,0,1,0,1,1,1,0,1,500,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,15,,##五光宝石,,,1,99,,,五彩斑斓的珍贵宝石。能使普通防具坚固一些。,,20,
9,琉璃彩珠,,5,2,,,0,1,0,1,1,1,0,1,1500,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,30,,##琉璃彩珠,,,1,99,,,充满灵性蕴涵天意的璀璨彩珠。能让普通防具变得坚固无比。,,20,
10,遁龙舍利,,5,3,,,0,1,0,1,1,1,0,1,3000,,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,40,,##遁龙舍利,,,1,99,,,拥有遁天入地龙神之力的舍利。能将普通防具变得固不可破。,,20,
11,闻仲之胆,,5,4,,,0,1,0,1,1,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,80,,##闻仲之胆,,,1,99,,,闻仲凭借此胆位人臣之极品，辅相两朝，竭忠辅江山社稷。与兵器一起锻造，能让平凡兵器变得无坚不摧。,,10,
12,比干之心,,5,4,,,0,1,0,1,1,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,80,,##比干之心,,,1,99,,,女娲娘娘赐给比干一颗光彩夺目的七窍玲珑心，获此心者不仅是辅佐国君治理国家的贤臣，更有护体强身之功效。与防具一起锻造，能将普通防具变得固不可破。,,20,
13,上古寒铁,,5,30,,,0,1,0,1,1,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,-1,,##上古寒铁,,,1,100,,,活动BOSS掉落，铸造用的上好材料，可以将装备与武器锻造+4 -5 +6成功率提升到75%，失败原道具也不会消失。,,75,0
14,神佑天晶,,5,33,,,0,1,0,1,1,1,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,80,,##神佑天晶,,,1,99,,,"璀灿晶体，内壁依稀有奇形文字，可以将装备与武器锻造+7,+8,+9成功率提升到80%，失败原道具也不会消失",,80,0
15,五彩晶石,,5,36,,,0,1,0,1,1,1,0,1,0,150,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,-1,,##五彩晶石,,,1,9,,,"女娲娘娘补天遗留下来的五彩石，带有神奇的力量，可以将装备与武器锻造+10,+11,+12成功率提升到50%，暴率降低到5%",,50,5
16,单晶五彩,,5,34,,,0,1,0,1,1,1,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,-1,,##单晶五彩,,,1,99,,,单个晶体的五彩石，因而只有一种颜色。可以将装备与武器锻造+10，+11，+12成功率提升到20%，爆率降低到30%。,,20,30
17,锻造+13宝石,,4,13,,,0,1,1,1,1,1,0,1,0,1200,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,13,,##锻造宝石1315,,,1,99,,,"双击后对需要进行锻造的装备点击即可,不会改变装备任何属性包括“附魔属性”，使用后装备锻造至+13。",,,
18,锻造+14宝石,,4,14,,,0,1,1,1,1,1,0,1,0,1600,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,14,,##锻造宝石1315,,,1,99,,,"双击后对需要进行锻造的装备点击即可,不会改变装备任何属性包括“附魔属性”，使用后装备锻造至+14。",,,
19,锻造+15宝石,,4,15,,,0,1,1,1,1,1,0,1,0,2000,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,15,,##锻造宝石1315,,,1,99,,,"双击后对需要进行锻造的装备点击即可,不会改变装备任何属性包括“附魔属性”，使用后装备锻造至+15。",,,
20,阿宝令牌,,10,5,,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,-1,,##灵石1,,,1,1,,,召唤神将阿宝助战全属性增加20%，可通过蓬莱岛BOSS掉落的阿宝强化卷轴进行提升加成属性。,,,
21,蜃气妖令牌,,11,5,,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,-1,,##灵石1,,,1,1,,,使用后获得宠物: 蜃气妖,,7,
22,锻造防降宝石,,5,80,,,0,1,1,1,1,1,0,1,0,500,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,15,,##锻造宝石1315,,,1,99,,,"在背包中自动生效, 锻造武器失败之后,锻造等级-1. 不会清零",,,
23,锻造防爆宝石,,5,81,,,0,1,1,1,1,1,0,1,0,500,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,0,0,15,,##锻造宝石1315,,,1,99,,,"在背包中自动生效, 锻造武器失败之后, 武器不会消失",,,
