#,,"类型1是普通NPC  不可攻击, 2 可攻击",,,,,,,,,,,,,,,,,,,,,,
ID,名称,类型,模型ID,脚本,出售道具,可接受任务,可完成任务,AI类型,头像,重生周期,默认对话,巡逻范围,生命,法力,伤害,防御,攻速,等级,闪避,力量,智力,体质,敏捷,耐力
1,二郎神,1,4,,,,,1,"NPC
男二郎神",-1,common_1,5,1000,0,10,10,1,1,0,1,0,0,0,0
2,奸商,1,5,,4,,,1,NPC男奸商,-1,common,3,1000,0,10,10,1,1,0,1,0,0,0,0
3,凤凰,1,6,,"1,2,3",,,1,,-1,common,5,1000,0,10,10,1,1,0,1,0,0,0,0
4,神秘剑客,1,7,,"1,2,3,4,1,2,3,4,3,2,1,2",,,1,,-1,,3,1000,0,10,10,1,1,0,1,0,0,0,0
5,小龙猫,1,8,,,,,1,,-1,,3,1000,0,10,10,1,1,0,1,0,0,0,0
6,低阶吸血鬼,2,9,,,,,2,105吸血鬼,-1,battle,10,300,20,10,10,1,1,0,1,0,0,0,0
7,弱小的蜃气妖,2,10,,,,,2,137,-1,battle,15,300,20,10,10,1,1,0,1,0,0,0,0
8,灵狐,2,11,,,,,2,44,-1,battle,10,300,20,10,10,1,1,0,1,0,0,0,0
9,红脖子狗,2,12,,,,,2,,-1,battle,10,300,20,10,10,1,1,0,1,0,0,0,0
10,恶魔泡泡,2,13,,,,,2,,-1,battle,10,300,20,10,10,1,1,0,1,0,0,0,0
