#,,,,,,"4 方向: 1右下, 2左下, 3左上, 4右上  
8 方向: 1下, 2左, 3右, 4上, 5左下, 6右下, 7左上, 8右上",,,帧数,,,,,,,
ID,模型缩放,站立模型,移动模型,站立轴,移动轴,站立方向,移动方向,战斗模型,战斗_攻击1,战斗_攻击2,战斗_击飞,战斗_施法,战斗_死亡,战斗_挨打,站立偏移,移动偏移
1,1,Model暗影战豹_人物龙太子,Model暗影战豹_人物龙太子_move,"8,8","8,8","1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",进阶夜罗刹,13,,4,16,12,1,,
2,1,NPC商会主管,NPC商会主管_move,"8,4","8,4","1,2,3,4","1,2,3,4",进阶夜罗刹,13,,4,16,12,1,,
3,0.65,Model萌萌小狗_人物龙太子,Model萌萌小狗_人物龙太子_move,"16,8","16,8","1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",进阶夜罗刹,13,,4,16,12,1,"-50,20","-50,20"
4,0.5,NPC二郎神,NPC二郎神_move,"12,4","8,4","1,2,3,4","1,2,3,4",二郎神,,,,,,,,
5,1,NPC奸商,NPC奸商_move,"7,4","8,4","1,2,3,4","1,2,3,4",奸商,,,,,,,,
6,1,65凤凰,65凤凰_move,"8,4","10,4","1,2,3,4","1,2,3,4",凤凰,,,,,,,,
7,1,060白衣剑客,060白衣剑客_move,"8,8","8,8","1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",神秘剑客,,,,,,,,
8,1,武神猫,武神猫_move,"8,8","8,8","6,5,7,8,1,2,4,3","6,5,7,8,1,2,4,3",小龙猫,,,,,,,,
9,1,95吸血鬼,95吸血鬼_move,"7,4","8,4","1,2,3,4","1,2,3,4",低阶吸血鬼,12,15,4,13,8,1,,
10,1,@@@@蜃气妖,@@@@蜃气妖_move,"8,4","6,4","1,2,3,4","1,2,3,4",蜃气妖,12,12,4,15,13,1,,
11,1,0超级灵狐,0超级灵狐_move,"12,4","8,4","1,2,3,4","1,2,3,4",灵狐,11,11,4,15,16,1,,
12,1,@@@@红脖子狗,@@@@红脖子狗_move,"8,8","8,8","2,5,4,8,3,6,1,7","2,5,4,8,3,6,1,7",红脖子狗,,,,,,,,
13,1,@@@@恶魔泡泡,@@@@恶魔泡泡_move,"8,8","8,8","1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8",@@@@恶魔泡泡,,,,,,,,
